variable_name,en,fr
language,Select the language you are most comfortable using to fill out the form,Select the language you are most comfortable using to fill out the form
university,Institution / University,Institution / Université
level,I am a,Je suis un.e
department,Department,Département
first_thoughts,"What do you think of when you hear the words ""open science""?","À quoi pensez-vous lorsque vous entendez les mots ""science ouverte"" ou ""open science""?"
create_registered_reports,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Registered reports],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Rapports enregistrés (Registered reports)]
create_open_access_publication,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open-access publication],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Publications en libre accès]
create_open_methods,"What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open methods (e.g., lab notebooks)]",Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Méthodes «ouvertes» (par exemple : journaux de laboratoire (suivi))]
create_open_hardware,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open hardware],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Matériel «ouvert»]
create_open_data,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open data],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Données «ouvertes»]
create_open_software,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open software],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Logiciels «ouverts» ou «libres»]
create_open_educational_resources,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Open educational resources],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Ressources éducatives «ouvertes»]
create_equity_diversity_inclusion,"What's your experience CREATING open-science objects? (you can select multiple options in each row) [Equity, diversity, and inclusion]","Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Équité, diversité et inclusion]"
create_public_outreach_citizen_science,What's your experience CREATING open-science objects? (you can select multiple options in each row) [Public outreach / citizen science],Quelle est votre expérience à *CRÉER* des données ou des objets de science ouverte? (vous pouvez sélectionner plusieurs options par rangée) [Sensibilisation ou communication au public (vulgarisation) / science citoyenne]
use_registered_reports,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Registered reports],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Rapports enregistrés (Registered reports)]
